1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.41E-05,5.85E-01,1.32E-01,7.24E-02,-1.98E-02,-1.94E-02,7.13E-01,-2.02E-03,-2.56E-02,2.61E-01
7.79E-01,-4.24E-07,-7.00E-03,-5.96E-04,-1.29E-01,-8.81E-02,-1.68E-03,2.20E-01,1.77E-03,-6.99E-03
2.02E-01,1.09E-03,1.12E-01,2.10E-01,3.18E-02,9.30E-01,-2.65E-03,1.56E-02,1.50E-01,-1.54E-02
1.51E-04,5.02E-01,1.28E-01,5.55E-01,-1.17E-02,-7.78E-02,1.33E-01,-1.06E-02,-4.35E-02,6.30E-01
3.29E-01,4.00E-04,9.64E-02,1.18E-01,5.15E-02,8.95E-01,-2.29E-03,-5.41E-02,1.20E-01,2.86E-02
5.96E-03,9.06E-02,5.53E-01,5.24E-01,-5.11E-02,4.28E-02,8.22E-02,5.68E-03,2.71E-01,2.33E-01
5.60E-03,6.60E-02,7.89E-01,2.55E-01,-7.08E-02,1.09E-02,1.04E-01,2.29E-03,1.65E-01,1.93E-01
1.04E-02,1.76E-02,9.96E-01,2.30E-02,-1.17E-02,7.01E-03,7.44E-03,6.86E-04,4.45E-02,1.67E-02
4.39E-01,2.51E-06,6.64E-02,-6.24E-03,8.15E-01,-2.70E-02,5.79E-03,6.30E-02,-5.77E-03,3.14E-03
3.89E-03,1.26E-01,4.18E-01,6.64E-01,-4.10E-02,1.60E-02,8.82E-02,2.44E-03,2.06E-01,2.83E-01
9.45E-01,-3.82E-07,-5.92E-03,-2.82E-04,-1.01E-01,-3.89E-02,-1.13E-03,6.18E-02,-9.34E-03,-4.57E-03
2.36E-02,1.16E-02,9.45E-01,5.18E-02,5.80E-02,7.06E-02,-2.64E-02,2.69E-03,2.65E-01,8.28E-03
5.70E-07,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
